code,id,user_type_id/id,name,reconcile,chart_template_id/id,group_id/id
972000,gd_acc_972000,account.data_account_type_non_current_liabilities,"Dolgoročna posojila, dobljena pri bankah in družbah v državi",0,gd_chart,
973000,gd_acc_973000,account.data_account_type_non_current_liabilities,"Dolgoročna posojila, dobljena pri bankah in družbah v tujini",0,gd_chart,
974000,gd_acc_974000,account.data_account_type_non_current_liabilities,Dolgoročne finančne obveznosti v zvezi z obveznicami,0,gd_chart,
975000,gd_acc_975000,account.data_account_type_non_current_liabilities,Dolgoročni dolgovi iz finančnega najema,0,gd_chart,
976000,gd_acc_976000,account.data_account_type_non_current_liabilities,Dolgoročne finančne obveznosti do fizičnih oseb,0,gd_chart,
979000,gd_acc_979000,account.data_account_type_non_current_liabilities,Druge dolgoročne finančne obveznosti,0,gd_chart,
980000,gd_acc_980000,account.data_account_type_non_current_liabilities,"Dolgoročni krediti, dobljeni na podlagi kreditnih pogodb od družb v skupini",0,gd_chart,
981000,gd_acc_981000,account.data_account_type_non_current_liabilities,"Dolgoročni krediti, dobljeni na podlagi kreditnih pogodb od pridruženih družb in skupaj obvladovanih družb",0,gd_chart,
982000,gd_acc_982000,account.data_account_type_non_current_liabilities,"Dolgoročni krediti, dobljeni od drugih domačih dobaviteljev",0,gd_chart,
983000,gd_acc_983000,account.data_account_type_non_current_liabilities,"Dolgoročni krediti, dobljeni od drugih tujih dobaviteljev",0,gd_chart,
985000,gd_acc_985000,account.data_account_type_non_current_liabilities,Dolgoročne menične obveznosti,0,gd_chart,
986000,gd_acc_986000,account.data_account_type_non_current_liabilities,Dolgoročni dobljeni predujmi in varščine,0,gd_chart,
988000,gd_acc_988000,account.data_account_type_non_current_liabilities,Obveznosti za odloženi davek,0,gd_chart,
989000,gd_acc_989000,account.data_account_type_non_current_liabilities,Druge dolgoročne poslovne obveznosti,0,gd_chart,
990000,gd_acc_990000,account.data_account_type_non_current_liabilities,"Najeta, izposojena in zakupljena (tuja) sredstva",0,gd_chart,
991000,gd_acc_991000,account.data_account_type_non_current_liabilities,"Menice in drugi vrednostni papirji, prejeti za zavarovanje plačil",0,gd_chart,
992000,gd_acc_992000,account.data_account_type_non_current_liabilities,"Blago, prejeto v komisijsko in konsignacijsko prodajo",0,gd_chart,
993000,gd_acc_993000,account.data_account_type_non_current_liabilities,"Vrednotnice, izdane za obračunavanje znotraj pravne osebe",0,gd_chart,
994000,gd_acc_994000,account.data_account_type_non_current_liabilities,Drugi aktivni zunajbilančni konti,0,gd_chart,
995000,gd_acc_995000,account.data_account_type_non_current_liabilities,"Lastniki najetih, izposojenih in zakupljenih sredstev",0,gd_chart,
996000,gd_acc_996000,account.data_account_type_non_current_liabilities,"Dolžniki, ki so zavarovali plačila z menicami in drugimi vrednostnimi papirji",0,gd_chart,
997000,gd_acc_997000,account.data_account_type_non_current_liabilities,"Obveznosti iz blaga, prejetega v komisijsko in konsignacijsko prodajo",0,gd_chart,
998000,gd_acc_998000,account.data_account_type_non_current_liabilities,"Nominalna vrednost vrednotnic, izdanih za obračunavanje znotraj pravne osebe",0,gd_chart,
999000,gd_acc_999000,account.data_account_type_non_current_liabilities,Drugi pasivni zunajbilančni konti,0,gd_chart,
